date,price,volume
2025-09-15 00:00:00+00:00,115444.875,52937859416
2025-09-16 00:00:00+00:00,116843.1875,45781744593
2025-09-17 00:00:00+00:00,116468.5078125,60528025996
2025-09-18 00:00:00+00:00,117137.203125,49457272032
2025-09-19 00:00:00+00:00,115688.859375,38828473971
2025-09-20 00:00:00+00:00,115721.9609375,22864449614
2025-09-21 00:00:00+00:00,115306.09375,22495852193
2025-09-22 00:00:00+00:00,112748.5078125,70684158591
2025-09-23 00:00:00+00:00,112014.5,47211853279
2025-09-24 00:00:00+00:00,113328.6328125,48044595085
2025-09-25 00:00:00+00:00,109049.2890625,75528654284
2025-09-26 00:00:00+00:00,109712.828125,57738288949
2025-09-27 00:00:00+00:00,109681.9453125,26308042910
2025-09-28 00:00:00+00:00,112122.640625,33371048505
2025-09-29 00:00:00+00:00,114400.3828125,60000147466
2025-09-30 00:00:00+00:00,114056.0859375,58986330258
2025-10-01 00:00:00+00:00,118648.9296875,71328680132
2025-10-02 00:00:00+00:00,120681.2578125,71415163912
2025-10-03 00:00:00+00:00,122266.53125,83941392228
2025-10-04 00:00:00+00:00,122425.4296875,36769171735
2025-10-05 00:00:00+00:00,123513.4765625,73689317763
2025-10-06 00:00:00+00:00,124752.53125,72568881188
2025-10-07 00:00:00+00:00,121451.3828125,76149412513
2025-10-08 00:00:00+00:00,123354.8671875,65354305286
2025-10-09 00:00:00+00:00,121705.5859375,74653009425
2025-10-10 00:00:00+00:00,113214.3671875,153125018868
2025-10-11 00:00:00+00:00,110807.8828125,110236934340
2025-10-12 00:00:00+00:00,115169.765625,93710414091
2025-10-13 00:00:00+00:00,115271.078125,71582026739
2025-10-14 00:00:00+00:00,113118.6640625,92212917403
2025-10-15 00:00:00+00:00,110783.1640625,72574132855
2025-10-16 00:00:00+00:00,108186.0390625,87306423067
2025-10-17 00:00:00+00:00,106467.7890625,99703051669
2025-10-18 00:00:00+00:00,107198.265625,37779905278
2025-10-19 00:00:00+00:00,108666.7109375,47657008953
2025-10-20 00:00:00+00:00,110588.9296875,63507793085
2025-10-21 00:00:00+00:00,108476.890625,101194375480
2025-10-22 00:00:00+00:00,107688.5859375,80807013218
2025-10-23 00:00:00+00:00,110069.7265625,54944076060
2025-10-24 00:00:00+00:00,111033.921875,48160816980
2025-10-25 00:00:00+00:00,111641.7265625,24707667305
2025-10-26 00:00:00+00:00,114472.4453125,41708524143
2025-10-27 00:00:00+00:00,114119.328125,61761358733
2025-10-28 00:00:00+00:00,112956.1640625,64528066504
2025-10-29 00:00:00+00:00,110055.3046875,62192043469
2025-10-30 00:00:00+00:00,108305.546875,69673964814
2025-10-31 00:00:00+00:00,109556.1640625,60090359560
2025-11-01 00:00:00+00:00,110064.015625,25871668762
2025-11-02 00:00:00+00:00,110639.625,34284209459
2025-11-03 00:00:00+00:00,106547.5234375,72852006359
2025-11-04 00:00:00+00:00,101590.5234375,110967184773
2025-11-05 00:00:00+00:00,103891.8359375,77584934804
2025-11-06 00:00:00+00:00,101301.2890625,63932752861
